Classes,Name,Grade Level (Multiple),Difficulty,,Name + Number
●Comp/World Lit – DC2010,Comp/World Lit,10,,,Comp/World Lit – DC2010
●AP Eng Lang & Comp – DA2010,AP Eng Lang & Comp,10,,,AP Eng Lang & Comp – DA2010
●American Lit Survey – DC3010,American Lit Survey,11,,,American Lit Survey – DC3010
●American Lit Honors – DB3018,American Lit Honors,11,,,American Lit Honors – DB3018
●Philosophy in Lit. – DC5030,Philosophy in Lit.,12,,,Philosophy in Lit. – DC5030
●Lit Culture & Society (ERWC) - DC5145,Lit Culture & Society (ERWC),12,,,Lit Culture & Society (ERWC) - DC5145
●AP Eng Lit & Comp – DA4010,AP Eng Lit & Comp,12,,,AP Eng Lit & Comp – DA4010
●French I – FC1010,French I,9,,,French I – FC1010
●French II – FC1011,French II,10,,,French II – FC1011
●French III – FC1012,French III,"10,11",,,French III – FC1012
●French III H – FB1013,French III H,"10,11",,,French III H – FB1013
●French V Honors – FB1016,French V Honors,"11,12",,,French V Honors – FB1016
●AP French Language & Culture – FA1014,AP French Language & Culture,"11,12",,,AP French Language & Culture – FA1014
●Japanese I – FC4010,Japanese I,9,,,Japanese I – FC4010
●Japanese II – FC4011,Japanese II,10,,,Japanese II – FC4011
●Japanese III – FC4012,Japanese III,"10,11",,,Japanese III – FC4012
●Japanese III H – FB4010,Japanese III H,"10,11",,,Japanese III H – FB4010
●Japanese IV - FC4013,Japanese IV,"11,12",,,Japanese IV - FC4013
●AP Japanese Language & Culture - FA4014,AP Japanese Language & Culture,"11,12",,,AP Japanese Language & Culture - FA4014
●Mandarin Chinese I – FC5010,Mandarin Chinese I,9,,,Mandarin Chinese I – FC5010
●Mandarin Chinese II – FC5011,Mandarin Chinese II,10,,,Mandarin Chinese II – FC5011
●Mandarin Chinese III – FC5012,Mandarin Chinese III,"10,11",,,Mandarin Chinese III – FC5012
●Mandarin Chinese IV – FC5013,Mandarin Chinese IV,"10,11,12",,,Mandarin Chinese IV – FC5013
●Mandarin Chinese IVH – FB5014,Mandarin Chinese IVH,"10,11,12",,,Mandarin Chinese IVH – FB5014
